Chromosome	Control	Stage I	Stage II	Stage III	Stage IV
1	0.390654205607477	0.967963386727689	1.41447368421053	1.29320388349515	1.29178470254958
2	0.186588921282799	1.38661710037175	0.283582089552239	0.703422053231939	0.392638036809816
3	0.227611940298507	2.70540540540541	1.26269315673289	1.21666666666667	1.41951219512195
4	0.111111111111111	0.354166666666667	0.192307692307692	0.834905660377359	0.454545454545455
5	0.148305084745763	2.15740740740741	0.73490813648294	2.28977272727273	1.56641604010025
6	0.255230125523013	2.80782918149466	0.4425	0.984962406015038	1.55038759689923
7	0.1256038647343	1	0.698952879581152	0.992	0.709459459459459
8	0.108108108108108	3.38288288288288	2.4969512195122	4.34982332155477	1.93155893536122
9	0.11219512195122	1.87027027027027	0.56701030927835	1.62555066079295	1.5956678700361
10	0.25	1.77551020408163	2.20505617977528	1.28865979381443	0.463414634146341
11	0.149425287356322	0.451388888888889	0.28735632183908	0.396449704142012	0.294117647058823
12	0.142857142857143	0.555555555555556	0.191780821917808	0.797794117647059	0.521172638436482
13	0.054794520547945	0.525	0.238938053097345	2.51282051282051	1.74436090225564
14	0.103225806451613	0.468926553672316	0.83955223880597	1.94871794871795	1.1447963800905
15	0.069364161849711	0.546875	0.17	0.423076923076923	0.389937106918239
16	0.176190476190476	0.319148936170213	0.201954397394137	0.507537688442211	0.75
17	0.28673835125448	0.762626262626263	0.268115942028985	0.715447154471545	0.473837209302326
18	0.017857142857143	2.98823529411765	0.379310344827586	2.76041666666667	1.21875
19	0.289902280130293	0.936395759717314	0.264187866927593	0.830815709969789	0.706422018348624
20	0.093023255813954	0.40506329113924	0.113207547169811	0.297619047619048	0.468531468531469
21	0.057142857142857	0.618181818181818	0.71830985915493	0.653846153846154	0.813333333333333
22	0.09	0.565217391304348	0.122699386503067	0.911764705882353	0.68
X	0.129251700680272	0.592233009708738	0.114537444933921	0.75	0.335164835164835
Y	3.09090909090909	3	1.25	2.11111111111111	3

